symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
frequent urination,tingling in feet,hunger,increased thirst,weight loss,slow healing,blurred vision,,diabetes
increased thirst,tingling in feet,fatigue,slow healing,weight loss,blurred vision,hunger,,diabetes
vision issues,headache,neck pain,sensitivity to light,vomiting,sound sensitivity,fatigue,nausea,migraine
body pain,chills,weakness,high temperature,fatigue,sweating,sore throat,loss of appetite,fever
nausea,rapid heartbeat,sweating,vomiting,headache,fatigue,muscle pain,,malaria
loss of appetite,vomiting,weakness,fever,headache,abdominal pain,body ache,dry cough,typhoid
fever,fatigue,rapid breathing,cough,chest pain,chills,phlegm,,pneumonia
fatigue,hunger,increased thirst,frequent urination,weight loss,slow healing,blurred vision,,diabetes
fever,constipation,body ache,dry cough,headache,loss of appetite,weakness,abdominal pain,typhoid
fever,sweating,chills,rapid heartbeat,fatigue,nausea,headache,muscle pain,malaria
chills,fatigue,rapid breathing,shortness of breath,chest pain,phlegm,fever,cough,pneumonia
shortness of breath,rapid breathing,fever,phlegm,fatigue,chest pain,cough,,pneumonia
muscle pain,headache,vomiting,rapid heartbeat,fever,fatigue,chills,sweating,malaria
dry cough,fever,body ache,weakness,constipation,abdominal pain,vomiting,,typhoid
blurred vision,tingling in feet,increased thirst,slow healing,frequent urination,hunger,fatigue,,diabetes
weakness,loss of appetite,chills,high temperature,sweating,headache,sore throat,,fever
rapid breathing,short breaths,fatigue,wheezing,chest tightness,breathlessness,trouble sleeping,,asthma
chills,cough,chest pain,rapid breathing,fever,phlegm,shortness of breath,fatigue,pneumonia
nausea,fatigue,chest pain,irregular heartbeat,dizziness,jaw pain,cold sweat,,heart attack
sore throat,loss of appetite,weakness,fatigue,high temperature,body pain,sweating,chills,fever
fatigue,night sweats,skin changes,pain,lump,weakness,loss of appetite,weight loss,cancer
frequent urination,hunger,slow healing,blurred vision,increased thirst,fatigue,weight loss,tingling in feet,diabetes
sore throat,weakness,high temperature,body pain,headache,chills,sweating,loss of appetite,fever
neck pain,vision issues,sound sensitivity,nausea,headache,fatigue,vomiting,sensitivity to light,migraine
hair loss,depression,dry skin,fatigue,weight gain,memory problems,muscle weakness,,thyroid
fever,loss of appetite,abdominal pain,constipation,dry cough,body ache,headache,,typhoid
dizziness,cold sweat,left arm pain,shortness of breath,nausea,jaw pain,fatigue,irregular heartbeat,heart attack
fatigue,frequent urination,slow healing,increased thirst,blurred vision,hunger,weight loss,,diabetes
headache,fever,loss of appetite,vomiting,dry cough,body ache,constipation,,typhoid
nausea,irregular heartbeat,left arm pain,cold sweat,fatigue,shortness of breath,dizziness,,heart attack
body pain,sweating,loss of appetite,high temperature,weakness,chills,headache,,fever
jaw pain,fatigue,nausea,chest pain,shortness of breath,left arm pain,cold sweat,dizziness,heart attack
weakness,loss of appetite,night sweats,lump,bleeding,fatigue,weight loss,,cancer
hunger,fatigue,slow healing,weight loss,increased thirst,tingling in feet,blurred vision,,diabetes
trouble sleeping,fatigue,chest tightness,wheezing,short breaths,rapid breathing,breathlessness,coughing,asthma
chills,vomiting,fever,nausea,sweating,headache,rapid heartbeat,muscle pain,malaria
muscle pain,rapid heartbeat,nausea,vomiting,fever,sweating,chills,,malaria
headache,sound sensitivity,neck pain,fatigue,vomiting,nausea,sensitivity to light,vision issues,migraine
weakness,sore throat,body pain,headache,chills,high temperature,fatigue,loss of appetite,fever
cold sweat,fatigue,irregular heartbeat,chest pain,shortness of breath,jaw pain,dizziness,left arm pain,heart attack
coughing,trouble sleeping,chest tightness,breathlessness,rapid breathing,short breaths,fatigue,wheezing,asthma
sweating,muscle pain,vomiting,fatigue,rapid heartbeat,chills,headache,,malaria
chills,body pain,fatigue,sweating,weakness,high temperature,headache,loss of appetite,fever
vomiting,dry cough,constipation,loss of appetite,weakness,headache,abdominal pain,fever,typhoid
slow heart rate,hair loss,dry skin,fatigue,muscle weakness,weight gain,depression,,thyroid
vomiting,sound sensitivity,nausea,vision issues,sensitivity to light,headache,neck pain,fatigue,migraine
dry skin,muscle weakness,weight gain,fatigue,slow heart rate,hair loss,memory problems,depression,thyroid
shortness of breath,chest pain,phlegm,cough,fatigue,chills,fever,,pneumonia
vomiting,headache,loss of appetite,constipation,fever,weakness,body ache,,typhoid
night sweats,weakness,weight loss,loss of appetite,fatigue,skin changes,pain,,cancer
hunger,weight loss,tingling in feet,fatigue,blurred vision,slow healing,frequent urination,,diabetes
fatigue,nausea,vomiting,neck pain,headache,sound sensitivity,vision issues,sensitivity to light,migraine
phlegm,chills,fever,chest pain,cough,fatigue,shortness of breath,,pneumonia
constipation,loss of appetite,fever,abdominal pain,body ache,weakness,vomiting,,typhoid
lump,loss of appetite,bleeding,pain,night sweats,skin changes,weakness,,cancer
dry skin,muscle weakness,slow heart rate,depression,memory problems,hair loss,fatigue,weight gain,thyroid
fatigue,slow healing,increased thirst,tingling in feet,blurred vision,frequent urination,hunger,weight loss,diabetes
short breaths,chest tightness,trouble sleeping,wheezing,coughing,breathlessness,fatigue,rapid breathing,asthma
pain,loss of appetite,skin changes,weakness,night sweats,weight loss,fatigue,bleeding,cancer
fatigue,nausea,vomiting,sensitivity to light,neck pain,sound sensitivity,vision issues,headache,migraine
fatigue,weight gain,dry skin,hair loss,slow heart rate,depression,memory problems,,thyroid
coughing,short breaths,chest tightness,rapid breathing,fatigue,trouble sleeping,breathlessness,,asthma
weight gain,depression,memory problems,slow heart rate,hair loss,muscle weakness,fatigue,,thyroid
blurred vision,hunger,tingling in feet,weight loss,increased thirst,fatigue,slow healing,frequent urination,diabetes
rapid heartbeat,fever,muscle pain,sweating,nausea,headache,vomiting,,malaria
increased thirst,slow healing,blurred vision,fatigue,frequent urination,hunger,tingling in feet,weight loss,diabetes
weakness,loss of appetite,headache,vomiting,fever,constipation,body ache,abdominal pain,typhoid
fatigue,cold sweat,jaw pain,irregular heartbeat,dizziness,nausea,left arm pain,shortness of breath,heart attack
headache,sweating,rapid heartbeat,vomiting,muscle pain,fatigue,nausea,fever,malaria
slow heart rate,dry skin,depression,memory problems,weight gain,muscle weakness,hair loss,fatigue,thyroid
weight gain,depression,slow heart rate,muscle weakness,dry skin,memory problems,fatigue,,thyroid
dry cough,vomiting,abdominal pain,weakness,fever,body ache,loss of appetite,headache,typhoid
loss of appetite,weakness,chills,headache,sweating,body pain,high temperature,sore throat,fever
depression,weight gain,hair loss,memory problems,muscle weakness,slow heart rate,dry skin,,thyroid
fever,chills,nausea,sweating,fatigue,rapid heartbeat,headache,vomiting,malaria
weight gain,hair loss,fatigue,dry skin,muscle weakness,depression,slow heart rate,memory problems,thyroid
shortness of breath,chest pain,phlegm,cough,fatigue,chills,fever,rapid breathing,pneumonia
shortness of breath,cold sweat,fatigue,dizziness,left arm pain,jaw pain,nausea,,heart attack
muscle pain,headache,nausea,chills,fever,fatigue,sweating,vomiting,malaria
chills,cough,chest pain,phlegm,fatigue,rapid breathing,fever,shortness of breath,pneumonia
night sweats,weakness,bleeding,weight loss,loss of appetite,skin changes,lump,,cancer
body ache,vomiting,dry cough,fever,loss of appetite,abdominal pain,headache,constipation,typhoid
slow heart rate,muscle weakness,weight gain,memory problems,hair loss,dry skin,fatigue,depression,thyroid
sensitivity to light,fatigue,nausea,headache,neck pain,sound sensitivity,vision issues,,migraine
breathlessness,fatigue,rapid breathing,wheezing,chest tightness,coughing,short breaths,trouble sleeping,asthma
breathlessness,wheezing,coughing,trouble sleeping,short breaths,chest tightness,rapid breathing,,asthma
chest tightness,fatigue,rapid breathing,wheezing,short breaths,breathlessness,coughing,,asthma
fatigue,depression,memory problems,hair loss,weight gain,dry skin,slow heart rate,muscle weakness,thyroid
wheezing,trouble sleeping,rapid breathing,coughing,breathlessness,fatigue,chest tightness,,asthma
fever,chest pain,shortness of breath,fatigue,rapid breathing,phlegm,cough,chills,pneumonia
chest tightness,trouble sleeping,wheezing,breathlessness,rapid breathing,fatigue,short breaths,,asthma
fever,rapid breathing,shortness of breath,fatigue,cough,phlegm,chills,chest pain,pneumonia
weight loss,night sweats,bleeding,weakness,lump,skin changes,fatigue,,cancer
wheezing,short breaths,trouble sleeping,rapid breathing,fatigue,coughing,breathlessness,,asthma
loss of appetite,sore throat,fatigue,chills,weakness,high temperature,headache,,fever
dry cough,body ache,loss of appetite,fever,weakness,constipation,vomiting,,typhoid
vomiting,fever,rapid heartbeat,muscle pain,chills,nausea,fatigue,,malaria
trouble sleeping,chest tightness,fatigue,coughing,short breaths,wheezing,rapid breathing,,asthma
increased thirst,hunger,slow healing,weight loss,fatigue,blurred vision,tingling in feet,,diabetes
memory problems,hair loss,muscle weakness,weight gain,depression,dry skin,fatigue,slow heart rate,thyroid
chest pain,chills,fever,cough,rapid breathing,shortness of breath,fatigue,,pneumonia
weight gain,hair loss,muscle weakness,fatigue,dry skin,slow heart rate,memory problems,,thyroid
fatigue,weight loss,night sweats,skin changes,pain,weakness,loss of appetite,lump,cancer
bleeding,loss of appetite,weakness,fatigue,lump,skin changes,pain,weight loss,cancer
sore throat,loss of appetite,headache,weakness,fatigue,chills,high temperature,sweating,fever
jaw pain,irregular heartbeat,fatigue,shortness of breath,chest pain,cold sweat,dizziness,,heart attack
weight loss,tingling in feet,fatigue,slow healing,frequent urination,increased thirst,hunger,blurred vision,diabetes
pain,bleeding,loss of appetite,night sweats,skin changes,weight loss,weakness,,cancer
fatigue,headache,nausea,vomiting,rapid heartbeat,chills,fever,sweating,malaria
bleeding,weight loss,loss of appetite,night sweats,lump,weakness,pain,skin changes,cancer
blurred vision,fatigue,slow healing,increased thirst,hunger,tingling in feet,frequent urination,weight loss,diabetes
abdominal pain,vomiting,dry cough,loss of appetite,body ache,constipation,fever,weakness,typhoid
slow heart rate,memory problems,dry skin,weight gain,muscle weakness,hair loss,fatigue,depression,thyroid
weight gain,memory problems,fatigue,slow heart rate,hair loss,muscle weakness,dry skin,depression,thyroid
depression,fatigue,dry skin,weight gain,muscle weakness,hair loss,slow heart rate,,thyroid
body pain,fatigue,sore throat,weakness,headache,sweating,chills,high temperature,fever
memory problems,dry skin,fatigue,slow heart rate,hair loss,weight gain,muscle weakness,depression,thyroid
cold sweat,left arm pain,nausea,dizziness,chest pain,irregular heartbeat,shortness of breath,,heart attack
tingling in feet,slow healing,frequent urination,blurred vision,weight loss,hunger,increased thirst,,diabetes
jaw pain,irregular heartbeat,chest pain,fatigue,nausea,dizziness,cold sweat,,heart attack
vomiting,sweating,chills,headache,fatigue,rapid heartbeat,fever,muscle pain,malaria
fatigue,slow heart rate,weight gain,depression,muscle weakness,dry skin,memory problems,,thyroid
blurred vision,increased thirst,fatigue,tingling in feet,weight loss,frequent urination,slow healing,hunger,diabetes
rapid breathing,phlegm,chest pain,cough,fatigue,shortness of breath,fever,chills,pneumonia
headache,vomiting,fever,fatigue,rapid heartbeat,nausea,chills,,malaria
loss of appetite,weakness,lump,weight loss,bleeding,skin changes,fatigue,night sweats,cancer
shortness of breath,fatigue,chest pain,cold sweat,dizziness,irregular heartbeat,left arm pain,,heart attack
pain,lump,fatigue,bleeding,skin changes,loss of appetite,weight loss,night sweats,cancer
weight gain,depression,muscle weakness,hair loss,slow heart rate,memory problems,fatigue,dry skin,thyroid
coughing,breathlessness,chest tightness,rapid breathing,wheezing,fatigue,short breaths,,asthma
memory problems,muscle weakness,weight gain,slow heart rate,hair loss,depression,fatigue,,thyroid
fever,phlegm,fatigue,shortness of breath,rapid breathing,chills,cough,,pneumonia
muscle pain,fever,sweating,nausea,vomiting,rapid heartbeat,chills,,malaria
headache,vomiting,loss of appetite,weakness,body ache,constipation,abdominal pain,,typhoid
fatigue,fever,shortness of breath,cough,phlegm,chills,chest pain,,pneumonia
slow heart rate,muscle weakness,depression,fatigue,memory problems,dry skin,hair loss,,thyroid
weakness,sore throat,high temperature,fatigue,sweating,headache,chills,body pain,fever
fatigue,vision issues,neck pain,nausea,headache,vomiting,sound sensitivity,sensitivity to light,migraine
phlegm,shortness of breath,cough,chest pain,rapid breathing,chills,fatigue,fever,pneumonia
body pain,weakness,sore throat,chills,sweating,high temperature,headache,,fever
chest pain,fatigue,left arm pain,jaw pain,nausea,cold sweat,irregular heartbeat,,heart attack
loss of appetite,weakness,headache,body pain,high temperature,sweating,fatigue,,fever
irregular heartbeat,cold sweat,nausea,dizziness,jaw pain,chest pain,fatigue,shortness of breath,heart attack
fatigue,neck pain,vision issues,nausea,sensitivity to light,headache,vomiting,,migraine
vomiting,loss of appetite,abdominal pain,body ache,fever,constipation,dry cough,,typhoid
weight gain,memory problems,fatigue,dry skin,depression,slow heart rate,hair loss,,thyroid
cold sweat,jaw pain,dizziness,irregular heartbeat,chest pain,left arm pain,fatigue,shortness of breath,heart attack
headache,abdominal pain,weakness,loss of appetite,body ache,constipation,fever,dry cough,typhoid
breathlessness,wheezing,fatigue,coughing,trouble sleeping,short breaths,rapid breathing,,asthma
weakness,weight loss,bleeding,pain,lump,loss of appetite,night sweats,,cancer
